0,0,00000000,00000000
1,17,00010001,00000001
2,34,00100010,00000010
3,51,00110011,00000011
4,68,01000100,00000100
5,85,01010101,00000101
6,102,01100110,00000110
7,119,01110111,00000111
8,136,10001000,00001000
9,153,10011001,00001001
10,170,10101010,00001010
11,187,10111011,00001011
12,188,10111100,00001100
13,171,10101011,00001101
14,154,10011010,00001110
15,137,10001001,00001111
16,120,01111000,00010000
17,103,01100111,00010001
18,86,01010110,00010010
19,69,01000101,00010011
20,52,00110100,00010100
21,35,00100011,00010101
22,18,00010010,00010110
23,1,00000001,00010111
24,2,00000010,00011000
25,19,00010011,00011001
26,36,00100100,00011010
27,53,00110101,00011011
28,70,01000110,00011100
29,87,01010111,00011101
30,104,01101000,00011110
31,121,01111001,00011111
32,138,10001010,00100000
33,155,10011011,00100001
34,172,10101100,00100010
35,189,10111101,00100011
36,190,10111110,00100100
37,173,10101101,00100101
38,156,10011100,00100110
39,139,10001011,00100111
40,122,01111010,00101000
41,105,01101001,00101001
42,88,01011000,00101010
43,71,01000111,00101011
44,54,00110110,00101100
45,37,00100101,00101101
46,20,00010100,00101110
47,3,00000011,00101111
48,4,00000100,00110000
49,21,00010101,00110001
50,38,00100110,00110010
51,55,00110111,00110011
52,72,01001000,00110100
53,89,01011001,00110101
54,106,01101010,00110110
55,123,01111011,00110111
56,140,10001100,00111000
57,157,10011101,00111001
58,174,10101110,00111010
59,191,10111111,00111011
60,192,11000000,00111100
61,175,10101111,00111101
62,158,10011110,00111110
63,141,10001101,00111111
64,124,01111100,01000000
65,107,01101011,01000001
66,90,01011010,01000010
67,73,01001001,01000011
68,56,00111000,01000100
69,39,00100111,01000101
70,22,00010110,01000110
71,5,00000101,01000111
72,6,00000110,01001000
73,23,00010111,01001001
74,40,00101000,01001010
75,57,00111001,01001011
76,74,01001010,01001100
77,91,01011011,01001101
78,108,01101100,01001110
79,125,01111101,01001111
80,142,10001110,01010000
81,159,10011111,01010001
82,176,10110000,01010010
83,193,11000001,01010011
84,194,11000010,01010100
85,177,10110001,01010101
86,160,10100000,01010110
87,143,10001111,01010111
88,126,01111110,01011000
89,109,01101101,01011001
90,92,01011100,01011010
91,75,01001011,01011011
92,58,00111010,01011100
93,41,00101001,01011101
94,24,00011000,01011110
95,7,00000111,01011111
96,8,00001000,01100000
97,25,00011001,01100001
98,42,00101010,01100010
99,59,00111011,01100011
100,76,01001100,01100100
101,93,01011101,01100101
102,110,01101110,01100110
103,127,01111111,01100111
104,144,10010000,01101000
105,161,10100001,01101001
106,178,10110010,01101010
107,195,11000011,01101011
108,196,11000100,01101100
109,179,10110011,01101101
110,162,10100010,01101110
111,145,10010001,01101111
112,128,10000000,01110000
113,111,01101111,01110001
114,94,01011110,01110010
115,77,01001101,01110011
116,60,00111100,01110100
117,43,00101011,01110101
118,26,00011010,01110110
119,9,00001001,01110111
120,10,00001010,01111000
121,27,00011011,01111001
122,44,00101100,01111010
123,61,00111101,01111011
124,78,01001110,01111100
125,95,01011111,01111101
126,112,01110000,01111110
127,129,10000001,01111111
128,146,10010010,10000000
129,163,10100011,10000001
130,180,10110100,10000010
131,197,11000101,10000011
132,198,11000110,10000100
133,181,10110101,10000101
134,164,10100100,10000110
135,147,10010011,10000111
136,130,10000010,10001000
137,113,01110001,10001001
138,96,01100000,10001010
139,79,01001111,10001011
140,62,00111110,10001100
141,45,00101101,10001101
142,28,00011100,10001110
143,11,00001011,10001111
144,12,00001100,10010000
145,29,00011101,10010001
146,46,00101110,10010010
147,63,00111111,10010011
148,80,01010000,10010100
149,97,01100001,10010101
150,114,01110010,10010110
151,131,10000011,10010111
152,148,10010100,10011000
153,165,10100101,10011001
154,182,10110110,10011010
155,199,11000111,10011011
156,200,11001000,10011100
157,183,10110111,10011101
158,166,10100110,10011110
159,149,10010101,10011111
160,132,10000100,10100000
161,115,01110011,10100001
162,98,01100010,10100010
163,81,01010001,10100011
164,64,01000000,10100100
165,47,00101111,10100101
166,30,00011110,10100110
167,13,00001101,10100111
168,14,00001110,10101000
169,31,00011111,10101001
170,48,00110000,10101010
171,65,01000001,10101011
172,82,01010010,10101100
173,99,01100011,10101101
174,116,01110100,10101110
175,133,10000101,10101111
176,150,10010110,10110000
177,167,10100111,10110001
178,184,10111000,10110010
179,201,11001001,10110011
180,202,11001010,10110100
181,185,10111001,10110101
182,168,10101000,10110110
183,151,10010111,10110111
184,134,10000110,10111000
185,117,01110101,10111001
186,100,01100100,10111010
187,83,01010011,10111011
188,66,01000010,10111100
189,49,00110001,10111101
190,32,00100000,10111110
191,15,00001111,10111111
192,16,00010000,11000000
193,33,00100001,11000001
194,50,00110010,11000010
195,67,01000011,11000011
196,84,01010100,11000100
197,101,01100101,11000101
198,118,01110110,11000110
199,135,10000111,11000111
200,152,10011000,11001000
201,169,10101001,11001001
202,186,10111010,11001010
203,203,11001011,11001011
