0,0,00000000,00000000
1,18,00010010,00000001
2,36,00100100,00000010
3,54,00110110,00000011
4,72,01001000,00000100
5,90,01011010,00000101
6,108,01101100,00000110
7,126,01111110,00000111
8,144,10010000,00001000
9,162,10100010,00001001
10,180,10110100,00001010
11,198,11000110,00001011
12,12,00001100,00001100
13,30,00011110,00001101
14,48,00110000,00001110
15,66,01000010,00001111
16,84,01010100,00010000
17,17,00010001,00010001
18,35,00100011,00010010
19,53,00110101,00010011
20,71,01000111,00010100
21,89,01011001,00010101
22,107,01101011,00010110
23,125,01111101,00010111
24,143,10001111,00011000
25,161,10100001,00011001
26,179,10110011,00011010
27,197,11000101,00011011
28,11,00001011,00011100
29,29,00011101,00011101
30,47,00101111,00011110
31,65,01000001,00011111
32,83,01010011,00100000
33,101,01100101,00100001
34,34,00100010,00100010
35,52,00110100,00100011
36,70,01000110,00100100
37,88,01011000,00100101
38,106,01101010,00100110
39,124,01111100,00100111
40,142,10001110,00101000
41,160,10100000,00101001
42,178,10110010,00101010
43,196,11000100,00101011
44,10,00001010,00101100
45,28,00011100,00101101
46,46,00101110,00101110
47,64,01000000,00101111
48,82,01010010,00110000
49,100,01100100,00110001
50,118,01110110,00110010
51,51,00110011,00110011
52,69,01000101,00110100
53,87,01010111,00110101
54,105,01101001,00110110
55,123,01111011,00110111
56,141,10001101,00111000
57,159,10011111,00111001
58,177,10110001,00111010
59,195,11000011,00111011
60,9,00001001,00111100
61,27,00011011,00111101
62,45,00101101,00111110
63,63,00111111,00111111
64,81,01010001,01000000
65,99,01100011,01000001
66,117,01110101,01000010
67,135,10000111,01000011
68,68,01000100,01000100
69,86,01010110,01000101
70,104,01101000,01000110
71,122,01111010,01000111
72,140,10001100,01001000
73,158,10011110,01001001
74,176,10110000,01001010
75,194,11000010,01001011
76,8,00001000,01001100
77,26,00011010,01001101
78,44,00101100,01001110
79,62,00111110,01001111
80,80,01010000,01010000
81,98,01100010,01010001
82,116,01110100,01010010
83,134,10000110,01010011
84,152,10011000,01010100
85,85,01010101,01010101
86,103,01100111,01010110
87,121,01111001,01010111
88,139,10001011,01011000
89,157,10011101,01011001
90,175,10101111,01011010
91,193,11000001,01011011
92,7,00000111,01011100
93,25,00011001,01011101
94,43,00101011,01011110
95,61,00111101,01011111
96,79,01001111,01100000
97,97,01100001,01100001
98,115,01110011,01100010
99,133,10000101,01100011
100,151,10010111,01100100
101,169,10101001,01100101
102,102,01100110,01100110
103,120,01111000,01100111
104,138,10001010,01101000
105,156,10011100,01101001
106,174,10101110,01101010
107,192,11000000,01101011
108,6,00000110,01101100
109,24,00011000,01101101
110,42,00101010,01101110
111,60,00111100,01101111
112,78,01001110,01110000
113,96,01100000,01110001
114,114,01110010,01110010
115,132,10000100,01110011
116,150,10010110,01110100
117,168,10101000,01110101
118,186,10111010,01110110
119,119,01110111,01110111
120,137,10001001,01111000
121,155,10011011,01111001
122,173,10101101,01111010
123,191,10111111,01111011
124,5,00000101,01111100
125,23,00010111,01111101
126,41,00101001,01111110
127,59,00111011,01111111
128,77,01001101,10000000
129,95,01011111,10000001
130,113,01110001,10000010
131,131,10000011,10000011
132,149,10010101,10000100
133,167,10100111,10000101
134,185,10111001,10000110
135,203,11001011,10000111
136,136,10001000,10001000
137,154,10011010,10001001
138,172,10101100,10001010
139,190,10111110,10001011
140,4,00000100,10001100
141,22,00010110,10001101
142,40,00101000,10001110
143,58,00111010,10001111
144,76,01001100,10010000
145,94,01011110,10010001
146,112,01110000,10010010
147,130,10000010,10010011
148,148,10010100,10010100
149,166,10100110,10010101
150,184,10111000,10010110
151,202,11001010,10010111
152,16,00010000,10011000
153,153,10011001,10011001
154,171,10101011,10011010
155,189,10111101,10011011
156,3,00000011,10011100
157,21,00010101,10011101
158,39,00100111,10011110
159,57,00111001,10011111
160,75,01001011,10100000
161,93,01011101,10100001
162,111,01101111,10100010
163,129,10000001,10100011
164,147,10010011,10100100
165,165,10100101,10100101
166,183,10110111,10100110
167,201,11001001,10100111
168,15,00001111,10101000
169,33,00100001,10101001
170,170,10101010,10101010
171,188,10111100,10101011
172,2,00000010,10101100
173,20,00010100,10101101
174,38,00100110,10101110
175,56,00111000,10101111
176,74,01001010,10110000
177,92,01011100,10110001
178,110,01101110,10110010
179,128,10000000,10110011
180,146,10010010,10110100
181,164,10100100,10110101
182,182,10110110,10110110
183,200,11001000,10110111
184,14,00001110,10111000
185,32,00100000,10111001
186,50,00110010,10111010
187,187,10111011,10111011
188,1,00000001,10111100
189,19,00010011,10111101
190,37,00100101,10111110
191,55,00110111,10111111
192,73,01001001,11000000
193,91,01011011,11000001
194,109,01101101,11000010
195,127,01111111,11000011
196,145,10010001,11000100
197,163,10100011,11000101
198,181,10110101,11000110
199,199,11000111,11000111
200,13,00001101,11001000
201,31,00011111,11001001
202,49,00110001,11001010
203,67,01000011,11001011
