0,0,00000000,00000000
1,18,00010010,00000001
2,36,00100100,00000010
3,54,00110110,00000011
4,72,01001000,00000100
5,90,01011010,00000101
6,108,01101100,00000110
7,126,01111110,00000111
8,144,10010000,00001000
9,162,10100010,00001001
10,180,10110100,00001010
11,198,11000110,00001011
12,1,00000001,00001100
13,19,00010011,00001101
14,37,00100101,00001110
15,55,00110111,00001111
16,73,01001001,00010000
17,91,01011011,00010001
18,109,01101101,00010010
19,127,01111111,00010011
20,145,10010001,00010100
21,163,10100011,00010101
22,181,10110101,00010110
23,199,11000111,00010111
24,2,00000010,00011000
25,20,00010100,00011001
26,38,00100110,00011010
27,56,00111000,00011011
28,74,01001010,00011100
29,92,01011100,00011101
30,110,01101110,00011110
31,128,10000000,00011111
32,146,10010010,00100000
33,164,10100100,00100001
34,182,10110110,00100010
35,200,11001000,00100011
36,3,00000011,00100100
37,21,00010101,00100101
38,39,00100111,00100110
39,57,00111001,00100111
40,75,01001011,00101000
41,93,01011101,00101001
42,111,01101111,00101010
43,129,10000001,00101011
44,147,10010011,00101100
45,165,10100101,00101101
46,183,10110111,00101110
47,201,11001001,00101111
48,4,00000100,00110000
49,22,00010110,00110001
50,40,00101000,00110010
51,58,00111010,00110011
52,76,01001100,00110100
53,94,01011110,00110101
54,112,01110000,00110110
55,130,10000010,00110111
56,148,10010100,00111000
57,166,10100110,00111001
58,184,10111000,00111010
59,202,11001010,00111011
60,5,00000101,00111100
61,23,00010111,00111101
62,41,00101001,00111110
63,59,00111011,00111111
64,77,01001101,01000000
65,95,01011111,01000001
66,113,01110001,01000010
67,131,10000011,01000011
68,149,10010101,01000100
69,167,10100111,01000101
70,185,10111001,01000110
71,203,11001011,01000111
72,6,00000110,01001000
73,24,00011000,01001001
74,42,00101010,01001010
75,60,00111100,01001011
76,78,01001110,01001100
77,96,01100000,01001101
78,114,01110010,01001110
79,132,10000100,01001111
80,150,10010110,01010000
81,168,10101000,01010001
82,186,10111010,01010010
83,187,10111011,01010011
84,7,00000111,01010100
85,25,00011001,01010101
86,43,00101011,01010110
87,61,00111101,01010111
88,79,01001111,01011000
89,97,01100001,01011001
90,115,01110011,01011010
91,133,10000101,01011011
92,151,10010111,01011100
93,169,10101001,01011101
94,170,10101010,01011110
95,188,10111100,01011111
96,8,00001000,01100000
97,26,00011010,01100001
98,44,00101100,01100010
99,62,00111110,01100011
100,80,01010000,01100100
101,98,01100010,01100101
102,116,01110100,01100110
103,134,10000110,01100111
104,152,10011000,01101000
105,153,10011001,01101001
106,171,10101011,01101010
107,189,10111101,01101011
108,9,00001001,01101100
109,27,00011011,01101101
110,45,00101101,01101110
111,63,00111111,01101111
112,81,01010001,01110000
113,99,01100011,01110001
114,117,01110101,01110010
115,135,10000111,01110011
116,136,10001000,01110100
117,154,10011010,01110101
118,172,10101100,01110110
119,190,10111110,01110111
120,10,00001010,01111000
121,28,00011100,01111001
122,46,00101110,01111010
123,64,01000000,01111011
124,82,01010010,01111100
125,100,01100100,01111101
126,118,01110110,01111110
127,119,01110111,01111111
128,137,10001001,10000000
129,155,10011011,10000001
130,173,10101101,10000010
131,191,10111111,10000011
132,11,00001011,10000100
133,29,00011101,10000101
134,47,00101111,10000110
135,65,01000001,10000111
136,83,01010011,10001000
137,101,01100101,10001001
138,102,01100110,10001010
139,120,01111000,10001011
140,138,10001010,10001100
141,156,10011100,10001101
142,174,10101110,10001110
143,192,11000000,10001111
144,12,00001100,10010000
145,30,00011110,10010001
146,48,00110000,10010010
147,66,01000010,10010011
148,84,01010100,10010100
149,85,01010101,10010101
150,103,01100111,10010110
151,121,01111001,10010111
152,139,10001011,10011000
153,157,10011101,10011001
154,175,10101111,10011010
155,193,11000001,10011011
156,13,00001101,10011100
157,31,00011111,10011101
158,49,00110001,10011110
159,67,01000011,10011111
160,68,01000100,10100000
161,86,01010110,10100001
162,104,01101000,10100010
163,122,01111010,10100011
164,140,10001100,10100100
165,158,10011110,10100101
166,176,10110000,10100110
167,194,11000010,10100111
168,14,00001110,10101000
169,32,00100000,10101001
170,50,00110010,10101010
171,51,00110011,10101011
172,69,01000101,10101100
173,87,01010111,10101101
174,105,01101001,10101110
175,123,01111011,10101111
176,141,10001101,10110000
177,159,10011111,10110001
178,177,10110001,10110010
179,195,11000011,10110011
180,15,00001111,10110100
181,33,00100001,10110101
182,34,00100010,10110110
183,52,00110100,10110111
184,70,01000110,10111000
185,88,01011000,10111001
186,106,01101010,10111010
187,124,01111100,10111011
188,142,10001110,10111100
189,160,10100000,10111101
190,178,10110010,10111110
191,196,11000100,10111111
192,16,00010000,11000000
193,17,00010001,11000001
194,35,00100011,11000010
195,53,00110101,11000011
196,71,01000111,11000100
197,89,01011001,11000101
198,107,01101011,11000110
199,125,01111101,11000111
200,143,10001111,11001000
201,161,10100001,11001001
202,179,10110011,11001010
203,197,11000101,11001011
